task,stage,model_family,family,specification,model_id,representation,quantile,cohort,origin,fold,n_train,n_evaluation,train_order_id_sha256,evaluation_order_id_sha256,test_order_id_sha256,parameters_json,numeric_features_json,categorical_features_json,ordered_feature_sha256,fitted_model_sha256,model_hash_type,best_iteration,source_model_frame_sha256,direct_config_sha256
breach,development_calibration_oof,logistic_l2,logistic_l2,DPG,DPG,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,1b93f09d35bae53aa97d8f904699657e3776a0795009e30038e3a0a2398010eb,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPS,DPS,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,9606a1e19a6d0fb5dff519114041437c75a2b8a991b6be76cf5e2365d72414b1,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DP0,DP0,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,118f68a9c9741b85fabff01c590a6dd0136871bc3d73fc3c3e7eef45ac0b7f7e,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPB,DPB,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,21ea0fe5533a7a9b1a32e42a22383c8fc71c74c0b27a563345d65075530ea75e,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPG,DPG,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,e76137a6785ba8105579c910fd770d1b65173adaa9cce7ace481f595075fc14c,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPS,DPS,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,7db9f85409c3ba9f1ed7318d60e41060c73114f6141bdba794bd4922cfb0364c,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,fa3c6275aa1f9e9d8e91ac9e21703b201dd36941f4e0391e1c6203d789a68d7c,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPB,DPB,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,b8a2559b268559106661e518beab8cb6fba55c2334c0bd50e9a4dceed6603c63,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPG,DPG,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,67771a9698704b69cf66004132473f33ede4b1f168593175d20b955e33cecf02,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPS,DPS,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,99a34edaa0d8deddcaa8fe18d6d3c2c0e4433cb784deb60350fd628a88cf0eee,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DP0,DP0,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,8fab1bcc069615c21a60a7a5841a2ce490d7e00f4529707aa70de5af77235f70,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPB,DPB,full,,development_fold_3,2017-11-01,3,24106,10309,e3bfae30130dce93f2dedc1476ea0ccd107cd5fd6d4b61c550fdd0ba849e09ba,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,c66863b27c980f56b785b4a84b195fbe26e00ea2226e44282f6883af52bffc26,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,1cac2ec52300a179f54f8b8616b25b7de349f5ea61d71872d5fc2b8de8726bab,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
